Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta_Leads,Cp lead Forms
BE,Always On,Search Engine,SEA Adwords,Conversion,C 400 X (K09),1.810201,265.0,6.830947169811321,51.0,0.19245283018867926,0.03549413725490196,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Always On,Search Engine,SEA Adwords,Conversion,M 1000 R (KM3),2.8688140000000004,226.0,12.69386725663717,44.0,0.19469026548672566,0.06520031818181819,44.0,0.06520031818181819,1.0,1.0,2.8688140000000004,0.022727272727272728,0.0,NaN,,NaN
BE,Always On,Search Engine,SEA Adwords,Conversion,R nineT (KR1),0.939503,130.0,7.2269461538461535,16.0,0.12307692307692308,0.0587189375,10.0,0.0939503,0.625,0.0,NaN,0.0,0.0,NaN,,NaN
BE,Always On,Search Engine,SEA Adwords,Conversion,R 18 B / Transcontinental (K35),0.18,47.0,3.829787234042553,7.0,0.14893617021276595,0.025714285714285714,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Always On,Search Engine,SEA Adwords,Conversion,K 1600 B / Grand America (K61),0.32999999999999996,64.0,5.156249999999999,5.0,0.078125,0.06599999999999999,6.0,0.05499999999999999,1.2,1.0,0.32999999999999996,0.16666666666666666,0.0,NaN,,NaN
BE,Always On,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,159.87,207636.0,0.7699531873085592,1373.0,0.006612533472037605,0.11643845593590678,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Always On,Social Networks,META (FB&Insta),Consideration,NOT MAPPED,1.13,5042.0,0.22411741372471242,16.0,0.0031733439111463705,0.070625,1.0,1.13,0.0625,0.0,NaN,0.0,0.0,NaN,,NaN
BE,Tactical,Social Networks,META (FB&Insta),Conversion,NOT MAPPED,488.05000000000007,422265.0,1.1557907948799926,4022.0,0.009524824458574591,0.12134510193933368,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Tactical,Social Networks,META (FB&Insta),Conversion,Multi,133.54,683824.0,0.19528416668616486,1764.0,0.0025796111280095464,0.07570294784580499,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Tactical,Social Networks,META (FB&Insta),Conversion,R 1300 GS (KA1),206.6,111007.0,1.8611438918266414,1313.0,0.011828082913690127,0.15734958111195735,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Tactical,Social Networks,META (FB&Insta),Conversion,F 900 XR (K84),16.56,65914.0,0.2512364596292138,446.0,0.006766392572139454,0.037130044843049326,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Tactical,Social Networks,META (FB&Insta),Conversion,F 800 GS (K80),16.63,30881.0,0.5385188303487581,384.0,0.01243483047828762,0.043307291666666664,,NaN,0.0,,NaN,NaN,,NaN,,NaN
BE,Tactical,Social Networks,META (FB&Insta),Consideration,Multi,19.509999999999998,18371.0,1.0619998911327635,139.0,0.007566272930161668,0.14035971223021582,,NaN,0.0,,NaN,NaN,,NaN,,NaN
