Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
SI,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS (0K61),15.60002,683.0,22.840439238653,103.0,0.15080527086383602,0.15145650485436893,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,F 900 XR (0K21),12.877298,725.0,17.761790344827585,103.0,0.14206896551724138,0.12502231067961164,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,F 800 GS (0K51),16.142754,817.0,19.75857282741738,100.0,0.12239902080783353,0.16142754,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,M 1000 RR (0P01),14.832224,1554.0,9.544545688545687,98.0,0.06306306306306306,0.15134922448979593,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,CE 04 (0C51),7.35537,382.0,19.254895287958114,56.0,0.14659685863874344,0.13134589285714285,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,C 400 GT (0S01),6.743535,278.0,24.25732014388489,47.0,0.16906474820143885,0.14347946808510637,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,C 400 X (0S11),3.590686,171.0,20.998163742690057,27.0,0.15789473684210525,0.13298837037037037,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GTL (0F31),4.227775,325.0,13.008538461538462,25.0,0.07692307692307693,0.169111,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GT (0F21),2.79,181.0,15.414364640883978,17.0,0.09392265193370165,0.16411764705882353,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,G 310 GS (0G31),1.841371,152.0,12.114282894736842,13.0,0.08552631578947369,0.14164392307692308,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,G 310 R (0G41),1.69976,118.0,14.404745762711865,11.0,0.09322033898305085,0.15452363636363636,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Search Engine,SEA Adwords,Conversion,K 1600 B (0F61),0.858816,32.0,26.838,5.0,0.15625,0.1717632,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Display,DV360,Consideration,Multi,294.516579,541429.0,0.5439615886847583,2724.0,0.005031130582218536,0.10811915528634361,,NaN,0.0,,NaN,NaN,,,NaN
SI,Always On,Display,DV360,Conversion,Multi,78.015618,431551.0,0.18077960194739442,226.0,5.236924488646765E-4,0.34520184955752214,,NaN,0.0,,NaN,NaN,,,NaN
Linkpost - statika - F800GS,NOT MAPPED,Social Networks,NOT MAPPED,NOT MAPPED,NOT MAPPED,2507.6,1773795.0,1.413692112109911,8322.0,0.004691635730171751,0.30132179764479694,,NaN,0.0,,NaN,NaN,,154.0,0.0
AT,Always On,Display,DV360,Consideration,Multi,1774.2678830000002,1614066.0,1.0992536135449233,3218.0,0.0019937226854416113,0.551357328464885,760.0,2.334563003947369,0.23617153511497824,1.0,1774.2678830000002,0.0013157894736842105,0.0,,NaN
AT,Always On,Display,DV360,Conversion,Multi,477.50883699999997,1523381.0,0.3134533232329929,2441.0,0.0016023568627940089,0.19562017083162636,112.0,4.2634717589285716,0.04588283490372798,0.0,NaN,0.0,0.0,,NaN
Linkpost - static - F800GS,NOT MAPPED,Social Networks,NOT MAPPED,NOT MAPPED,NOT MAPPED,3003.9800000000005,972720.0,3.088226827864134,4274.0,0.0043938646270252485,0.7028497894244269,,NaN,0.0,,NaN,NaN,,84.0,0.0
Linkpost - static - F800,NOT MAPPED,Social Networks,NOT MAPPED,NOT MAPPED,NOT MAPPED,256.52,385766.0,0.664962697593878,3026.0,0.007844133490250567,0.08477197620621281,,NaN,0.0,,NaN,NaN,,,NaN
