Year,Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Line Item (Free Field),Campaign Detail (Free Field),Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
2025-01-01 00:00,UK,Launch,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,NB-SOC-R1300-RS,340.7238276812315,100801.0,3.3801631698220405,1468.0,0.014563347585837442,0.2321007000553348,,NaN,0.0,,NaN,NaN,,NaN,,NaN
2025-01-01 00:00,UK,Launch,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,NB-SOC-R1300-R,432.1049042272996,127176.0,3.397692207863902,1307.0,0.010277096307479399,0.33060818992142277,,NaN,0.0,,NaN,NaN,,NaN,,NaN
2025-01-01 00:00,UK,Tactical,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,NB-TA-2025-GHO,550.8616977948448,854026.0,0.6450174793212909,595.0,6.967001004653254E-4,0.9258179794871341,,NaN,0.0,,NaN,NaN,,NaN,,NaN
2025-01-01 00:00,UK,Tactical,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,NB-AO-2025-GHO2,1398.163374508749,436164.0,3.205590957779067,5732.0,0.01314184572775378,0.24392243100292202,,NaN,0.0,,NaN,NaN,,NaN,,NaN
2025-01-01 00:00,UK,Launch,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,NA,8258.445768495354,1671985.0,4.939306135219726,17515.0,0.010475572448317419,0.47150703788155035,,NaN,0.0,,NaN,NaN,,NaN,572.0,0.0
2025-01-01 00:00,UK,Launch,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,LEADAC,8679.688788014226,1471492.0,5.898563354754375,13184.0,0.008959613779755514,0.6583501811297198,,NaN,0.0,,NaN,NaN,,NaN,406.0,21.37854381284292
2025-01-01 00:00,UK,Tactical,Social Networks,META (FB&Insta),NOT MAPPED,NOT MAPPED,Not Valid,LEADAC,17501.8504500525,2613078.0,6.697791053329637,22359.0,0.008556575808299638,0.7827653495260298,,NaN,0.0,,NaN,NaN,,NaN,560.0,31.25330437509375
