Week of Year,Media Spend,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
05,225.30110200000001,4088.0,55.112794031311154,730.0,0.17857142857142858,0.3086316465753425,618.0,0.3645648899676376,0.8465753424657534,7.0,32.18587171428572,0.011326860841423949,0.0,NaN,,NaN
06,544.054763,7296.0,74.56890940241227,1450.0,0.19873903508771928,0.37521018137931034,1196.0,0.45489528678929764,0.8248275862068966,26.0,20.925183192307692,0.021739130434782608,0.0,NaN,,NaN
07,573.347234,8565.0,66.94071617046117,1562.0,0.18237011091652072,0.36705968886043533,1394.0,0.41129643758967,0.8924455825864277,26.0,22.05181669230769,0.018651362984218076,0.0,NaN,,NaN
08,988.9654370000001,10919.0,90.57289467899992,1902.0,0.17419177580364503,0.5199607975814932,1659.0,0.5961214207353828,0.8722397476340694,36.0,27.47126213888889,0.0216998191681736,0.0,NaN,,NaN
09,1392.340659,385681.0,3.6100836157342466,4859.0,0.012598494610831231,0.28654880819098577,1474.0,0.9446001757123473,0.3033545997118749,30.0,46.4113553,0.0203527815468114,0.0,NaN,,NaN
10,1984.5248980000001,403548.0,4.917692314173284,5392.0,0.013361483640112205,0.3680498698071217,2204.0,0.9004196451905627,0.40875370919881304,48.0,41.34426870833334,0.021778584392014518,0.0,NaN,,NaN
11,2167.106746,453916.0,4.774246217361802,5609.0,0.012356911851532001,0.3863624079158495,2405.0,0.901083886070686,0.42877518274202175,60.0,36.11844576666667,0.02494802494802495,0.0,NaN,,NaN
12,1930.2541039999999,366454.0,5.267384457530822,4323.0,0.011796842168457706,0.4465080046264168,1888.0,1.0223803516949153,0.43673374971084894,34.0,56.77217952941176,0.018008474576271187,0.0,NaN,,NaN
