Month,Media Spend,Impressions,Clicks,CTR,CPM,CPC,CP IV,Cp NVWR
FEB-2025,54770.20293199999,9291743,158911,0.017102388647641246,5.894504466547709,0.3446596077804557,0.5174255260436849,46.271563132758615
JAN-2025,55793.57558500001,11372177,161723,0.014220935885890625,4.9061602514459235,0.3449946858826513,0.5561172524345392,60.76645881527938
MAR-2025,104926.73424599996,24440465,281364,0.01151221959156669,4.293156216381318,0.37292167528894943,0.534809075794283,35.13780257358093
YTD 2025,215490.51276299998,45104385,601998,0.013346773268275358,4.777599127529868,0.35795885162907515,0.5355661538303537,42.373847098752805
