Country,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
FR,Multi,78956.04766000001,2.39550107E8,0.3296013875710772,337941.0,0.0014107319935365338,0.2336385572037723,7.0,11279.43538,2.0713674872241014E-5,0.0,NaN,0.0,0.0,NaN,,NaN
FR,NOT MAPPED,58496.378500000006,5893276.0,9.925952645014421,49919.0,0.008470500957362254,1.1718259280033656,49.0,1193.803642857143,9.815901760852582E-4,0.0,NaN,0.0,0.0,NaN,,NaN
FR,Brand,15038.917899,243079.0,61.8684374174651,87278.0,0.3590519954418111,0.1723105238318935,2066.0,7.279243900774444,0.023671486514356424,18.0,835.4954388333333,0.008712487899322363,0.0,NaN,,NaN
FR,R 1300 GS Adventure (KA2),9605.880245,1097756.0,8.750469362044024,6160.0,0.0056114473525993025,1.5593961436688313,1.0,9605.880245,1.6233766233766234E-4,0.0,NaN,0.0,0.0,NaN,,NaN
FR,R 1300 GS (KA1),5114.9572069999995,1280647.0,3.9940414548271304,10894.0,0.008506637660495047,0.4695205807784101,1.0,5114.9572069999995,9.179364787956673E-5,0.0,NaN,0.0,0.0,NaN,,NaN
FR,M 1000 RR (K66),3169.718507,4726215.0,0.6706674383200933,4326.0,9.153201875073394E-4,0.73271347827092,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Generic,2809.1223919999998,47157.0,59.569573806645884,4244.0,0.08999724325126704,0.6619044278982091,2.0,1404.5611959999999,4.71253534401508E-4,0.0,NaN,0.0,0.0,NaN,,NaN
FR,CE 02 (K06),2808.8780180000003,522812.0,5.372634939519369,6129.0,0.011723143309640941,0.4582930360580846,1.0,2808.8780180000003,1.6315875346712352E-4,0.0,NaN,0.0,0.0,NaN,,NaN
FR,F 900 XR (K84),1944.875824,25206.0,77.1592408156788,3831.0,0.15198762199476315,0.5076679258679196,8.0,243.109478,0.0020882276168102325,0.0,NaN,0.0,0.0,NaN,,NaN
FR,CE 04 (K07),1871.0840680000001,106771.0,17.52427220874582,4015.0,0.03760384374034148,0.4660234291407223,6.0,311.8473446666667,0.0014943960149439602,0.0,NaN,0.0,0.0,NaN,,NaN
FR,F 900 GS (K81),1418.617944,481010.0,2.9492483399513527,5795.0,0.012047566578657408,0.24480033546160485,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,R 12 (KR3),1176.119904,218639.0,5.3792777317861855,2829.0,0.012939137116433939,0.4157369756097561,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,S 1000 XR (K69),727.880952,39624.0,18.369698970321014,2173.0,0.05484050070664244,0.33496592360791533,2.0,363.940476,9.203865623561896E-4,0.0,NaN,0.0,0.0,NaN,,NaN
FR,M 1000 R (KM3),495.383341,176169.0,2.8119779359592205,2973.0,0.01687584081194762,0.16662742717793474,4.0,123.84583525,0.0013454423141607804,0.0,NaN,0.0,0.0,NaN,,NaN
FR,S 1000 RR (K67),492.744109,16300.0,30.229699938650302,1601.0,0.09822085889570552,0.3077727101811368,4.0,123.18602725,0.0024984384759525295,0.0,NaN,0.0,0.0,NaN,,NaN
FR,S 1000 R (K63),477.093849,15099.0,31.59771170276177,1136.0,0.07523677064706272,0.4199769797535211,4.0,119.27346225,0.0035211267605633804,0.0,NaN,0.0,0.0,NaN,,NaN
FR,K 1600 GT(K48),457.96415,14159.0,32.34438519669468,912.0,0.06441132848364997,0.5021536732456141,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,R 18 (K34),333.316018,73072.0,4.561473861396978,896.0,0.012261878694985767,0.372004484375,2.0,166.658009,0.002232142857142857,0.0,NaN,0.0,0.0,NaN,,NaN
FR,M 1000 XR (KM9),313.083984,6357.0,49.250272770174604,823.0,0.1294635834513135,0.3804179635479951,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,C 400 GT (K08),230.836691,21470.0,10.751592501164415,684.0,0.03185840707964602,0.33748054239766084,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,F 800 GS (K80),216.647686,4566.0,47.44802584318879,731.0,0.1600963644327639,0.2963716634746922,2.0,108.323843,0.0027359781121751026,0.0,NaN,0.0,0.0,NaN,,NaN
FR,K 1600 B / Grand America (K61),143.160434,2076.0,68.95974662813103,233.0,0.11223506743737957,0.6144224635193134,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,G 310 R (K03),132.770427,2791.0,47.57091615908277,341.0,0.12217843067001075,0.38935609090909096,2.0,66.3852135,0.005865102639296188,0.0,NaN,0.0,0.0,NaN,,NaN
FR,F 900 GS Adventure (K82),123.512436,8355.0,14.783056373429083,540.0,0.06463195691202872,0.22872673333333332,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,C 400 X (K09),116.36049200000001,3552.0,32.759147522522525,347.0,0.09769144144144144,0.3353328299711816,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,R nineT (KR1),38.611471,864.0,44.6892025462963,138.0,0.1597222222222222,0.279793268115942,2.0,19.3057355,0.014492753623188406,0.0,NaN,0.0,0.0,NaN,,NaN
FR,G 310 GS (K02),26.776293,696.0,38.471685344827584,120.0,0.1724137931034483,0.22313577499999998,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,R 18 B / Transcontinental (K35),21.961314,595.0,36.90977142857143,74.0,0.12436974789915967,0.2967745135135135,,NaN,0.0,,NaN,NaN,,NaN,,NaN
