COUNTRY,Phase,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Conversion,20223.563332733644,6630189.0,3.050224259479427,91118.0,0.013742896318641897,0.22194915749614394,23414.0,0.1305425528629729,0.25696349788186745,99.0,30.87397305791563,0.004228239514820193,0.0,1584.0,10.837777777777779
PL,Consideration,1893.757284,3073430.0,0.6161706250020336,8523.0,0.00277312318809929,0.2221937444561774,,NaN,0.0,,NaN,NaN,,,NaN
GR,Conversion,4875.878691,2381530.0,2.047372357686025,41217.0,0.01730694133603188,0.11829775798820874,,NaN,0.0,,NaN,NaN,,427.0,9.212107728337237
GR,Consideration,756.2905119999998,2808814.0,0.26925617431414106,36374.0,0.012949949694070166,0.02079206334194754,,NaN,0.0,,NaN,NaN,,,NaN
RO,Conversion,8079.881942939683,4112277.0,1.9648194766402367,46518.0,0.01131198117247452,0.17369366574099665,,NaN,0.0,,NaN,NaN,,1342.0,5.495216095380031
RO,Consideration,531.2549749999998,1305001.0,0.4070916229182965,27793.0,0.021297301687891425,0.019114704242075335,,NaN,0.0,,NaN,NaN,,,NaN
CZ,Conversion,11490.32326753974,3157273.0,3.6393188892882367,51123.0,0.01619213796209577,0.22475839186940788,193.0,5.205820039065979,0.0037752088101246015,0.0,NaN,0.0,0.0,1180.0,8.886101694915258
CZ,Consideration,696.3704502184285,383105.0,1.8177012835082509,4159.0,0.010856031636235497,0.1674369921179198,1829.0,0.38073835441138787,0.43976917528251985,1.0,696.3704502184285,5.467468562055768E-4,0.0,,NaN
AT,Conversion,9486.958982999997,3139234.0,3.0220617459545855,38765.0,0.012348553819180094,0.24473001374951622,16515.0,0.15952582397820161,0.42602863407713143,39.0,67.55305084615384,0.0023614895549500456,0.0,,NaN
AT,Consideration,1944.4514569999997,2630805.0,0.7391089255950174,6723.0,0.002555491570070758,0.2892237776290346,3469.0,0.5605221842029402,0.5159898854677971,1.0,1944.4514569999997,2.882675122513693E-4,0.0,,NaN
SK,Conversion,8409.904004,2649287.0,3.17440277478431,31201.0,0.011777130979014354,0.26953956616775104,,NaN,0.0,,NaN,NaN,,640.0,12.2726875
SK,Consideration,370.586865,308165.0,1.2025598786364446,1183.0,0.0038388525627504745,0.3132602409129332,,NaN,0.0,,NaN,NaN,,,NaN
BG,Conversion,3887.390103,2648687.0,1.4676668488953206,28262.0,0.010670192438744178,0.1375483017125469,252.0,0.646786123015873,0.008916566414266506,2.0,81.4950515,0.007936507936507936,0.0,528.0,7.053787878787879
BG,Consideration,141.912591,640404.0,0.22159853935952928,2568.0,0.0040099687072535466,0.05526191238317757,1608.0,0.08825409888059702,0.6261682242990654,0.0,NaN,0.0,0.0,,NaN
HU,Conversion,4281.353372173431,1654582.0,2.5875740048987788,21863.0,0.01321360923786189,0.19582643608715322,,NaN,0.0,,NaN,NaN,,446.0,7.833565022421524
HU,Consideration,654.0491051063578,988087.0,0.6619347335875868,7021.0,0.007105649603729227,0.09315611808949692,,NaN,0.0,,NaN,NaN,,,NaN
SI,Conversion,7132.876869000003,2772400.0,2.5728166458663986,20614.0,0.00743543500216419,0.34602099878723214,,NaN,0.0,,NaN,NaN,,500.0,13.342000000000008
SI,Consideration,304.216959,459905.0,0.6614778247681586,1964.0,0.004270447157565149,0.15489661863543788,,NaN,0.0,,NaN,NaN,,,NaN
Not Valid,NOT MAPPED,2322.300000000001,954848.0,2.4321148496933556,10912.0,0.011427996916786755,0.2128207478005866,50944.0,0.04558534861809047,4.668621700879766,172.0,13.501744186046517,0.003376256281407035,0.0,62.0,0.0
Linkpost - statika - F800GS,NOT MAPPED,1797.3399999999997,761292.0,2.3609075098648082,4427.0,0.005815114305680344,0.4059950304946916,,NaN,0.0,,NaN,NaN,,66.0,0.0
Linkpost - static - F800GS,NOT MAPPED,1421.3400000000001,475770.0,2.9874519200454004,2120.0,0.004455934590243185,0.6704433962264151,,NaN,0.0,,NaN,NaN,,58.0,0.0
Linkpost - static - F800,NOT MAPPED,25.630000000000003,35991.0,0.7121224750632104,287.0,0.007974215776166263,0.08930313588850175,,NaN,0.0,,NaN,NaN,,,NaN
