COUNTRY,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,22117.320616733632,9703619.0,2.2792857609860437,99641.0,0.010268436961508897,0.221970078750049,23414.0,0.21142396073860287,0.23498359109202036,99.0,50.002834512461085,0.004228239514820193,0.0,1584.0,10.837777777777774
GR,5632.169203,5190344.0,1.085124454756756,77591.0,0.01494910549281512,0.07258791874057559,,NaN,0.0,,NaN,NaN,,427.0,9.212107728337237
RO,8611.136917939684,5417278.0,1.5895689528836592,74311.0,0.013717405678645253,0.11587970714887008,,NaN,0.0,,NaN,NaN,,1342.0,5.49521609538003
CZ,12186.693717758164,3540378.0,3.44220128973747,55282.0,0.015614716846619203,0.22044596284067444,2023.0,0.8408767759555917,0.036594189790528565,1.0,1701.093717758162,4.943153732081067E-4,0.0,1180.0,8.886101694915254
AT,11431.410439999996,5770039.0,1.9811669279878346,45488.0,0.00788348224336092,0.25130606841364744,19984.0,0.22913432946357082,0.4393246570524094,40.0,114.47551099999998,0.0020016012810248197,0.0,,NaN
SK,8780.490869000005,2957452.0,2.968937744044537,32384.0,0.010949966389987057,0.27113669926506934,,NaN,0.0,,NaN,NaN,,640.0,12.272687500000002
BG,4029.302694000001,3289091.0,1.2250505364552093,30830.0,0.009373410465079866,0.13069421647745705,1861.0,0.16383809457281032,0.06036328251702887,2.0,152.451347,0.0010746910263299302,0.0,528.0,7.0537878787878805
HU,4935.402477279788,2642669.0,1.8675825376843596,28884.0,0.010929859168893266,0.17086977140561516,,NaN,0.0,,NaN,NaN,,446.0,7.833565022421526
SI,7437.093828000001,3232305.0,2.3008638813478313,22578.0,0.006985108150375661,0.32939559872442203,,NaN,0.0,,NaN,NaN,,500.0,13.342
Not Valid,2322.2999999999993,954848.0,2.432114849693354,10912.0,0.011427996916786755,0.21282074780058644,70485.0,0.032947435624600965,6.459402492668621,179.0,12.973743016759773,0.002539547421437185,0.0,62.0,0.0
Linkpost - statika - F800GS,1797.3399999999997,761292.0,2.3609075098648082,4427.0,0.005815114305680344,0.4059950304946916,,NaN,0.0,,NaN,NaN,,66.0,0.0
Linkpost - static - F800GS,1421.3399999999997,475770.0,2.9874519200453995,2120.0,0.004455934590243185,0.6704433962264149,,NaN,0.0,,NaN,NaN,,58.0,0.0
Linkpost - static - F800,25.630000000000003,35991.0,0.7121224750632104,287.0,0.007974215776166263,0.08930313588850175,,NaN,0.0,,NaN,NaN,,,NaN
