Country,Phase,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
FR,Conversion,66124.43899300003,7929242.0,8.339314021819492,174869.0,0.022053684324428488,0.3781369996568862,2035.0,32.49358181474203,0.01163728276595623,15.0,4408.295932866668,0.007371007371007371,0.0,NaN,,NaN
FR,Consideration,40220.90658699999,7.1573368E7,0.561953527001831,168367.0,0.002352369389686957,0.2388883010744385,1.0,40220.90658699999,5.9394061781703066E-6,0.0,NaN,0.0,0.0,NaN,,NaN
FR,Awareness,24786.283132000008,6260253.0,3.9593101320346014,8632.0,0.0013788580110100982,2.8714415120481935,,NaN,0.0,,NaN,NaN,,NaN,,NaN
