COUNTRY,Phase,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Conversion,12388.950525227174,4739666.0,2.613886827727349,76780.0,0.016199453716780887,0.16135647988053103,21700.0,0.14068159102429392,0.2826256837718156,116.0,26.317159700234292,0.005345622119815668,0.0,1360.0,6.8648235294117645
PL,Consideration,1962.1659319999999,3123229.0,0.6282491395923898,11178.0,0.003578988284240445,0.1755381939524065,,NaN,0.0,,NaN,NaN,,,NaN
Not Valid,NOT MAPPED,15476.18715700001,4784867.0,3.234402786326142,74066.0,0.015479218126648034,0.20895130231145206,50754.0,0.18182521883989444,0.6852536926524991,197.0,46.84445257360407,0.0038814674705441934,0.0,472.0,0.0
GR,Consideration,763.280541,2582274.0,0.2955846439998234,31995.0,0.012390242088949507,0.023856244444444445,,NaN,0.0,,NaN,NaN,,,NaN
GR,Conversion,3015.729507000001,1255957.0,2.4011407293402565,28790.0,0.02292275929828808,0.10474920135463706,,NaN,0.0,,NaN,NaN,,174.0,11.92028735632184
CZ,Conversion,6357.373692831615,2179759.0,2.9165488904193606,39201.0,0.017984098242053364,0.16217376324154015,300.0,3.3185123094387228,0.00765286599831637,0.0,NaN,0.0,0.0,864.0,6.205810185185184
CZ,Consideration,723.5741271647474,468213.0,1.545395209369982,5138.0,0.010973638066435575,0.14082797336799288,1923.0,0.37627359706955144,0.37427014402491243,1.0,723.5741271647474,5.200208008320333E-4,0.0,,NaN
RO,Conversion,4729.548477487348,2520314.0,1.8765711246643664,34974.0,0.013876842329963647,0.13523041337814798,,NaN,0.0,,NaN,NaN,,976.0,4.126946721311477
RO,Consideration,548.9595790000001,1592229.0,0.34477426237055103,8861.0,0.005565154258589688,0.06195232806680962,,NaN,0.0,,NaN,NaN,,,NaN
HU,Conversion,2815.1411822346,1167384.0,2.4114954310103616,20082.0,0.017202565736724164,0.14018231163403047,,NaN,0.0,,NaN,NaN,,444.0,4.5707432432432435
HU,Consideration,663.6216960636746,1201318.0,0.5524113482555615,10504.0,0.008743729803432564,0.06317799848283269,,NaN,0.0,,NaN,NaN,,,NaN
SK,Conversion,4063.3580470000006,1508594.0,2.6934735568350403,22782.0,0.01510147859530132,0.17835826736019667,,NaN,0.0,,NaN,NaN,,420.0,8.355238095238095
SK,Consideration,374.11362499999996,373295.0,1.0021929707068136,1352.0,0.0036218004527250568,0.27671126109467453,,NaN,0.0,,NaN,NaN,,,NaN
SI,Conversion,3345.2824840000003,1763515.0,1.8969401927400675,16786.0,0.009518490061042861,0.19929003240795903,,NaN,0.0,,NaN,NaN,,374.0,7.710160427807487
SI,Consideration,304.98462100000006,553989.0,0.5505246873132861,2828.0,0.0051047944995297745,0.107844632602546,,NaN,0.0,,NaN,NaN,,,NaN
BG,Conversion,1867.3643579999987,1170452.0,1.5954215619265024,16317.0,0.013940768181864785,0.11444287295458716,462.0,0.35845099134199127,0.028314028314028315,5.0,33.120871599999994,0.010822510822510822,0.0,182.0,9.35032967032967
BG,Consideration,141.247756,563081.0,0.2508480236413589,2762.0,0.004905155741358703,0.05113966545981173,1896.0,0.07449776160337553,0.6864590876176684,1.0,141.247756,5.274261603375527E-4,0.0,,NaN
Linkpost - statika - F800GS,NOT MAPPED,3135.9600000000005,2204921.0,1.4222550377088343,10284.0,0.004664112682495201,0.3049358226371062,,NaN,0.0,,NaN,NaN,,186.0,0.0
Linkpost - static - F800GS,NOT MAPPED,3886.5000000000005,1285678.0,3.0229186468151434,5516.0,0.0042903433052443925,0.7045866569978246,,NaN,0.0,,NaN,NaN,,100.0,0.0
AT,Consideration,1851.74542,1674905.0,1.105582358402417,2979.0,0.0017786083389804198,0.6215996710305471,4558.0,0.4062627073277753,1.530043638804968,3.0,617.2484733333333,6.581834137779728E-4,0.0,,NaN
AT,Conversion,495.562608,1628349.0,0.30433439514502114,2148.0,0.001319127533471019,0.23070884916201118,16637.0,0.029786776942958466,7.745344506517691,35.0,14.158931657142858,0.0021037446655045983,0.0,,NaN
Linkpost - static - F800,NOT MAPPED,210.42000000000002,312105.0,0.6741961839765463,2512.0,0.008048573396773522,0.08376592356687898,,NaN,0.0,,NaN,NaN,,,NaN
