COUNTRY,Channel Name,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,META (FB&Insta),9336.160000000003,4192826.0,2.2266986514584683,45302.0,0.010804645840299597,0.2060871484702663,,NaN,0.0,,NaN,NaN,,1360.0,6.864823529411767
PL,SEA Adwords,2491.988634227178,176047.0,14.155246236670765,30894.0,0.17548722784256476,0.08066254399647757,21700.0,0.11483818590908654,0.7024017608597138,116.0,21.482660639889467,0.005345622119815668,0.0,,NaN
PL,DV360,2522.967823,3494022.0,0.7220812642278727,11762.0,0.0033663211050188008,0.2145016003230743,,NaN,0.0,,NaN,NaN,,,NaN
Not Valid,NOT MAPPED,15476.187157000006,4784867.0,3.2344027863261413,74066.0,0.015479218126648034,0.20895130231145204,50754.0,0.1818252188398944,0.6852536926524991,197.0,46.844452573604066,0.0038814674705441934,0.0,472.0,0.0
GR,DV360,944.5369019999999,2748020.0,0.343715439480062,32332.0,0.011765562113812853,0.02921368619324508,,NaN,0.0,,NaN,NaN,,,NaN
GR,SEA Adwords,760.343146,64334.0,11.818682904840365,16480.0,0.2561631485684086,0.046137326820388354,,NaN,0.0,,NaN,NaN,,,NaN
GR,META (FB&Insta),2074.13,1025877.0,2.0218115817003404,11973.0,0.01167098979702245,0.1732339430385033,,NaN,0.0,,NaN,NaN,,174.0,11.92028735632184
CZ,META (FB&Insta),5361.820000000001,2032586.0,2.6379302031992746,28076.0,0.013812945676099314,0.19097521014389515,,NaN,0.0,,NaN,NaN,,864.0,6.205810185185186
CZ,SEA Adwords,795.6215844945134,75847.0,10.489822728578764,10719.0,0.14132398117262385,0.07422535539644681,,NaN,0.0,,NaN,NaN,,,NaN
CZ,DV360,923.5062355018509,539539.0,1.711657981168833,5544.0,0.010275438846867418,0.16657760380625017,2223.0,0.41543240463421094,0.400974025974026,1.0,923.5062355018509,4.49842555105713E-4,0.0,,NaN
RO,META (FB&Insta),4027.9000000000005,2411108.0,1.6705597592476158,24168.0,0.010023607403733056,0.16666252896391925,,NaN,0.0,,NaN,NaN,,976.0,4.126946721311476
RO,SEA Adwords,562.9835694873467,52083.0,10.809353714020826,10679.0,0.20503811224391835,0.05271875358061117,,NaN,0.0,,NaN,NaN,,,NaN
RO,DV360,687.624487,1649352.0,0.41690584362828553,8988.0,0.005449412860323327,0.07650472708055185,,NaN,0.0,,NaN,NaN,,,NaN
HU,META (FB&Insta),2029.4100000000005,1023864.0,1.982108951970184,11712.0,0.011439019244743442,0.17327612704918038,,NaN,0.0,,NaN,NaN,,444.0,4.570743243243244
HU,DV360,828.3976802982744,1283304.0,0.6455194406767799,10737.0,0.008366684745001964,0.07715355129908488,,NaN,0.0,,NaN,NaN,,,NaN
HU,SEA Adwords,620.9551980000003,61534.0,10.091253583384802,8137.0,0.13223583709818962,0.07631254737618291,,NaN,0.0,,NaN,NaN,,,NaN
SK,META (FB&Insta),3509.1999999999985,1456018.0,2.410135039539345,16118.0,0.011069918091671944,0.21771932001489008,,NaN,0.0,,NaN,NaN,,420.0,8.355238095238091
SK,SEA Adwords,455.44614200000007,27806.0,16.37941962166439,6578.0,0.2365676472703733,0.0692377838248708,,NaN,0.0,,NaN,NaN,,,NaN
SK,DV360,472.82552999999996,398065.0,1.187809855174406,1438.0,0.003612475349503222,0.3288077399165507,,NaN,0.0,,NaN,NaN,,,NaN
SI,META (FB&Insta),2883.599999999999,1292472.0,2.231073477800679,13412.0,0.01037701397012856,0.21500149120190867,,NaN,0.0,,NaN,NaN,,374.0,7.710160427807484
SI,SEA Adwords,380.6756880000001,23906.0,15.923855433782318,3149.0,0.13172425332552498,0.12088780184185459,,NaN,0.0,,NaN,NaN,,,NaN
SI,DV360,385.991417,1001126.0,0.38555727950327934,3053.0,0.003049566188471781,0.12643020537176547,,NaN,0.0,,NaN,NaN,,,NaN
BG,META (FB&Insta),1701.7599999999993,1121368.0,1.5175749620106864,14620.0,0.013037646874175114,0.11639945280437752,376.0,0.0,0.025718194254445964,5.0,0.0,0.013297872340425532,0.0,182.0,9.350329670329666
BG,DV360,181.552502,604973.0,0.30010017306557485,2897.0,0.004788643460121361,0.06266914118053159,1984.0,0.09150831754032258,0.6848463928201588,1.0,181.552502,5.040322580645161E-4,0.0,,NaN
BG,SEA Adwords,125.29961200000001,7192.0,17.422081757508344,1562.0,0.21718576195773082,0.08021742125480154,,NaN,0.0,,NaN,NaN,,,NaN
Linkpost - statika - F800GS,NOT MAPPED,3135.96,2204921.0,1.422255037708834,10284.0,0.004664112682495201,0.30493582263710617,,NaN,0.0,,NaN,NaN,,186.0,0.0
Linkpost - static - F800GS,NOT MAPPED,3886.500000000002,1285678.0,3.0229186468151448,5516.0,0.0042903433052443925,0.7045866569978249,,NaN,0.0,,NaN,NaN,,100.0,0.0
AT,DV360,2347.308028,3303254.0,0.7106047636663726,5127.0,0.0015521058931586853,0.4578326561341915,4676.0,0.5019905962360992,0.9120343280670957,3.0,782.4360093333333,6.415739948674081E-4,0.0,,NaN
Linkpost - static - F800,NOT MAPPED,210.42000000000002,312105.0,0.6741961839765463,2512.0,0.008048573396773522,0.08376592356687898,,NaN,0.0,,NaN,NaN,,,NaN
