Country,Channel Type,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
FR,Social Networks,67736.54000000002,2.226917E7,3.041718214015162,135537.0,0.006086306764015004,0.49976419723027676,2.0,33868.27000000001,1.47561182555317E-5,0.0,NaN,0.0,0.0,NaN,,NaN
FR,Search Engine,35952.80899300001,533560.0,67.38287913824128,121213.0,0.22717782442461953,0.2966085237804527,2034.0,17.675913959193714,0.01678037834225702,15.0,2396.8539328666675,0.007374631268436578,0.0,NaN,,NaN
FR,Streaming,19125.981761999996,1634916.0,11.698449193720043,6672.0,0.004080943608111977,2.8666039811151074,,NaN,0.0,,NaN,NaN,,NaN,,NaN
FR,Display,8316.297957000004,6.1325217E7,0.1356097599622029,88446.0,0.001442245202328432,0.09402684075028836,,NaN,0.0,,NaN,NaN,,NaN,,NaN
