COUNTRY,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Multi,5202.727823000001,5044626.0,1.031340643092273,28152.0,0.0055805920993944845,0.18480846202756468,,NaN,0.0,,NaN,NaN,,392.0,6.836122448979593
PL,Brand,1244.5652154418462,84344.0,14.75582395240736,21559.0,0.2556079863416485,0.05772833690996086,15619.0,0.07968277197271569,0.7244770165592096,80.0,15.557065193023078,0.005121966835264741,0.0,,NaN
PL,NOT MAPPED,4052.5600252101945,1616072.0,2.507660565377158,15863.0,0.009815775534753402,0.2554724847261044,393.0,0.27027996236690865,0.02477463279329257,6.0,17.703337535032517,0.015267175572519083,0.0,484.0,8.153595041322312
PL,CE 02 (K06),2434.6,957584.0,2.542440141021571,12894.0,0.013465137262109643,0.18881650380021714,,NaN,0.0,,NaN,NaN,,450.0,5.410222222222222
PL,M 1000 RR (0P01),209.4567110411372,17719.0,11.82102325419816,1583.0,0.0893391274902647,0.13231630514285356,1249.0,0.1676995284556743,0.7890082122552117,2.0,104.7283555205686,0.0016012810248198558,0.0,,NaN
PL,R 1300 GS (0M21),177.2522730214175,11877.0,14.923993687077333,1310.0,0.11029721310095142,0.13530707864230343,954.0,0.185799028324337,0.7282442748091603,3.0,59.084091007139165,0.0031446540880503146,0.0,,NaN
PL,CE 02 (0C71),169.79173450500718,12002.0,14.146953383186734,1166.0,0.09715047492084652,0.14561898328045214,832.0,0.2040766039723644,0.7135506003430532,4.0,42.447933626251796,0.004807692307692308,0.0,,NaN
PL,F 900 GS (0K61),130.3871435291271,6711.0,19.428869546882297,982.0,0.1463269259424825,0.13277713190338808,786.0,0.16588695105486906,0.8004073319755601,4.0,32.59678588228177,0.005089058524173028,0.0,,NaN
PL,CE 04 (K07),275.46,78234.0,3.5209755349336604,958.0,0.012245315336043153,0.2875365344467641,,NaN,0.0,,NaN,NaN,,34.0,8.101764705882353
PL,Dealer,62.1862992791013,2590.0,24.010154161815173,540.0,0.2084942084942085,0.11515981347981721,315.0,0.1974168231082581,0.5833333333333334,5.0,12.43725985582026,0.015873015873015872,0.0,,NaN
PL,F 800 GS (0K51),71.076428491965,5586.0,12.724029447183137,532.0,0.09523809523809523,0.13360230919542293,375.0,0.18953714264524002,0.7048872180451128,6.0,11.8460714153275,0.016,0.0,,NaN
PL,CE 04 (0C51),56.7841127326116,3313.0,17.139786517540475,432.0,0.130395412013281,0.13144470539956388,315.0,0.18026702454797333,0.7291666666666666,1.0,56.7841127326116,0.0031746031746031746,0.0,,NaN
PL,F 900 XR (0K21),48.8057876692537,3372.0,14.473839759565154,408.0,0.12099644128113879,0.119622028601112,4.0,12.201446917313424,0.00980392156862745,0.0,NaN,0.0,0.0,,NaN
PL,R 1250 GS Adventure (0M11),41.7697971148367,3908.0,10.68827971208718,299.0,0.07650972364380758,0.13969831810982172,5.0,8.353959422967339,0.016722408026755852,0.0,NaN,0.0,0.0,,NaN
