COUNTRY,Campaign Type,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Tactical,9336.160000000002,4192826.0,2.226698651458468,45302.0,0.010804645840299597,0.20608714847026624,,NaN,0.0,,NaN,NaN,,1360.0,6.864823529411766
PL,Always On,5014.956457227177,3670069.0,1.3664474584066886,42656.0,0.011622669764519413,0.11756743382471815,21409.0,0.2342452453280012,0.501898912228057,115.0,43.60831701936676,0.005371572703068803,0.0,,NaN
Not Valid,NOT MAPPED,13024.220000000003,4670300.0,2.7887330578335443,52836.0,0.011313191872042482,0.2465027632674692,73911.0,0.09168310535644224,1.3988757665228253,205.0,33.055560975609765,0.002773606093815535,0.0,472.0,0.0
Not Valid,Always On,2451.967157,114567.0,21.40203686052703,21230.0,0.1853064145870975,0.11549539128591615,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,1704.8800479999993,2812354.0,0.6062110417109651,48812.0,0.01735627876149304,0.03492747783331966,,NaN,0.0,,NaN,NaN,,,NaN
GR,Tactical,2074.1299999999997,1025877.0,2.02181158170034,11973.0,0.01167098979702245,0.17323394303850326,,NaN,0.0,,NaN,NaN,,174.0,11.920287356321838
CZ,Tactical,5361.82,2032586.0,2.637930203199274,28076.0,0.013812945676099314,0.19097521014389512,,NaN,0.0,,NaN,NaN,,864.0,6.205810185185185
CZ,Always On,1719.1278199963642,615386.0,2.793576421947143,16263.0,0.02642731553854004,0.10570791489862659,2223.0,0.7733368511004788,0.1366906474820144,1.0,1719.1278199963642,4.49842555105713E-4,0.0,,NaN
RO,Tactical,4027.900000000001,2411108.0,1.670559759247616,24168.0,0.010023607403733056,0.16666252896391928,,NaN,0.0,,NaN,NaN,,976.0,4.1269467213114766
RO,Always On,1250.6080564873464,1701435.0,0.7350313450042737,19667.0,0.011559066317549598,0.06358916237796036,,NaN,0.0,,NaN,NaN,,,NaN
HU,Always On,1449.3528782982748,1344838.0,1.0777155897574837,18874.0,0.014034404143844836,0.07679097585558307,,NaN,0.0,,NaN,NaN,,,NaN
HU,Tactical,2029.4100000000003,1023864.0,1.9821089519701838,11712.0,0.011439019244743442,0.17327612704918036,,NaN,0.0,,NaN,NaN,,444.0,4.5707432432432435
SK,Tactical,3509.2000000000003,1456018.0,2.4101350395393464,16118.0,0.011069918091671944,0.2177193200148902,,NaN,0.0,,NaN,NaN,,420.0,8.355238095238096
SK,Always On,928.2716720000001,425871.0,2.1797015340326062,8016.0,0.018822601210225633,0.11580235429141718,,NaN,0.0,,NaN,NaN,,,NaN
SI,Tactical,2883.5999999999995,1292472.0,2.2310734778006793,13412.0,0.01037701397012856,0.2150014912019087,,NaN,0.0,,NaN,NaN,,374.0,7.710160427807486
SI,Always On,766.6671050000002,1025032.0,0.7479445568528595,6202.0,0.006050542812321957,0.12361610851338281,,NaN,0.0,,NaN,NaN,,,NaN
BG,Tactical,1701.7600000000002,1121368.0,1.5175749620106873,14620.0,0.013037646874175114,0.11639945280437758,376.0,0.0,0.025718194254445964,5.0,0.0,0.013297872340425532,0.0,182.0,9.350329670329671
BG,Always On,306.8521140000001,612165.0,0.5012572002646347,4459.0,0.0072839838932314,0.06881635209688274,1984.0,0.15466336391129037,0.4449428122897511,1.0,306.8521140000001,5.040322580645161E-4,0.0,,NaN
Linkpost - statika - F800GS,NOT MAPPED,3135.9599999999996,2204921.0,1.4222550377088339,10284.0,0.004664112682495201,0.30493582263710617,,NaN,0.0,,NaN,NaN,,186.0,0.0
Linkpost - static - F800GS,NOT MAPPED,3886.5000000000014,1285678.0,3.0229186468151443,5516.0,0.0042903433052443925,0.7045866569978247,,NaN,0.0,,NaN,NaN,,100.0,0.0
AT,Always On,2347.308028,3303254.0,0.7106047636663726,5127.0,0.0015521058931586853,0.4578326561341915,21197.0,0.11073774722838137,4.134386580846499,38.0,61.77126389473684,0.0017927065150728876,0.0,,NaN
Linkpost - static - F800,NOT MAPPED,210.42000000000002,312105.0,0.6741961839765463,2512.0,0.008048573396773522,0.08376592356687898,,NaN,0.0,,NaN,NaN,,,NaN
