Country,Channel Name,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,Cp lead Forms
FR,META (FB&Insta),64948.98,2.33E+07,2.787545403,168482,0.007231079,0.385495068,,NaN,0,,NaN,NaN,,NaN,,NaN
FR,DV360,53180.23194,4453600,11.94095382,11634,0.002612269,4.571104688,,NaN,0,,NaN,NaN,,NaN,,NaN
FR,SEA Adwords,35915.36988,602236,59.63670368,140858,0.233891697,0.254975719,145,247.692206,0.001029406,1,35915.36988,0.006896552,0,NaN,,NaN
FR,Taboola,32714.12,2.26E+08,0.144610129,216109,9.55E-04,0.15137787,,NaN,0,,NaN,NaN,,NaN,,NaN
