COUNTRY,Channel Name,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,META (FB&Insta),17167.039999999997,6157378.0,2.7880438719208076,57786.0,0.009384838806388044,0.2970795694458865,,NaN,0.0,,NaN,NaN,,1584.0,10.837777777777776
PL,SEA Adwords,2493.6635807336484,186611.0,13.362897046442324,32868.0,0.17613109623762802,0.07586903920937228,23414.0,0.10650309988612149,0.7123646099549714,99.0,25.1885210175116,0.004228239514820193,0.0,,NaN
PL,DV360,2456.617036,3359630.0,0.7312165434884199,8987.0,0.0026749969490687964,0.27335229064203853,,NaN,0.0,,NaN,NaN,,,NaN
GR,DV360,938.0529630000001,2973993.0,0.31541868558533936,36821.0,0.012380997534291439,0.02547603169387035,,NaN,0.0,,NaN,NaN,,,NaN
GR,META (FB&Insta),3933.5700000000006,2150344.0,1.8292747578992015,23284.0,0.010828034956267463,0.16893875622745236,,NaN,0.0,,NaN,NaN,,427.0,9.212107728337237
GR,SEA Adwords,760.5462400000001,66007.0,11.52220582665475,17486.0,0.2649112972866514,0.04349458080750315,,NaN,0.0,,NaN,NaN,,,NaN
RO,META (FB&Insta),7374.580000000001,3999078.0,1.8440700581484035,35004.0,0.008753017570550012,0.21067820820477662,,NaN,0.0,,NaN,NaN,,1342.0,5.49521609538003
RO,DV360,676.4623669999999,1361091.0,0.4970001028586626,27958.0,0.020540874930478563,0.024195663745618424,,NaN,0.0,,NaN,NaN,,,NaN
RO,SEA Adwords,560.0945509396832,57109.0,9.807465564791595,11349.0,0.19872524470748917,0.049351885711488526,,NaN,0.0,,NaN,NaN,,,NaN
CZ,META (FB&Insta),10485.600000000006,3027776.0,3.463135978355072,40630.0,0.013419090447906318,0.2580753138075315,,NaN,0.0,,NaN,NaN,,1180.0,8.88610169491526
CZ,SEA Adwords,806.9526773154149,71221.0,11.3302632273545,10218.0,0.14346892068350628,0.07897364232877421,,NaN,0.0,,NaN,NaN,,,NaN
CZ,DV360,894.1410404427476,441381.0,2.0257805398119713,4434.0,0.010045742793640868,0.20165562481794036,2023.0,0.44198766210714163,0.4562471808750564,1.0,894.1410404427476,4.943153732081067E-4,0.0,,NaN
AT,SEA Adwords,2116.929033000001,112325.0,18.846463681282,21597.0,0.19227242377030937,0.0980195875816086,16322.0,0.1296978944369563,0.7557531138584063,39.0,54.280231615384636,0.0023894130621247398,0.0,,NaN
AT,DV360,2462.091407,4393854.0,0.5603489344434294,13335.0,0.0030349210510863586,0.18463377630296213,3661.0,0.6725188219065829,0.27454068241469815,1.0,2462.091407,2.731494127287626E-4,0.0,,NaN
AT,META (FB&Insta),6852.39,1263860.0,5.421795135537165,10556.0,0.008352190907220737,0.6491464569912846,,NaN,0.0,,NaN,NaN,,,NaN
SK,META (FB&Insta),7854.519999999998,2599676.0,3.0213457369302934,25036.0,0.009630430869077531,0.31372903019651693,,NaN,0.0,,NaN,NaN,,640.0,12.272687499999996
SK,SEA Adwords,455.76838300000003,26394.0,17.26787841933773,6106.0,0.23134045616427976,0.07464270930232558,,NaN,0.0,,NaN,NaN,,,NaN
SK,DV360,470.20248599999996,331382.0,1.4189137792638102,1242.0,0.0037479404433554027,0.37858493236714974,,NaN,0.0,,NaN,NaN,,,NaN
BG,META (FB&Insta),3724.3999999999987,2606488.0,1.4288958936315836,26566.0,0.01019225870213099,0.1401942332304449,170.0,0.0,0.006399156816984115,2.0,0.0,0.011764705882352941,0.0,528.0,7.053787878787876
BG,DV360,181.802701,675481.0,0.26914554369404914,2685.0,0.003974945261228665,0.06771050316573557,1691.0,0.10751194618568895,0.6297951582867783,0.0,NaN,0.0,0.0,,NaN
BG,SEA Adwords,123.099993,7122.0,17.284469671440608,1579.0,0.2217073855658523,0.07796073020899304,,NaN,0.0,,NaN,NaN,,,NaN
HU,META (FB&Insta),3493.769999999999,1517139.0,2.302867436668624,13132.0,0.008655765885657148,0.26605010660980805,,NaN,0.0,,NaN,NaN,,446.0,7.8335650224215225
HU,SEA Adwords,621.9174810000001,66819.0,9.307494589862166,8548.0,0.12792768523922837,0.07275590559195134,,NaN,0.0,,NaN,NaN,,,NaN
HU,DV360,819.7149962797895,1058711.0,0.7742575606372177,7204.0,0.006804500945017101,0.11378609054411293,,NaN,0.0,,NaN,NaN,,,NaN
SI,META (FB&Insta),6671.000000000003,2344902.0,2.844895010537755,16984.0,0.007242946613547176,0.39278144135657106,,NaN,0.0,,NaN,NaN,,500.0,13.342000000000006
SI,SEA Adwords,380.251325,24022.0,15.82929502123054,3328.0,0.13853967196736325,0.11425821063701923,,NaN,0.0,,NaN,NaN,,,NaN
SI,DV360,385.842503,863381.0,0.4468971439028656,2266.0,0.0026245655162668623,0.17027471447484555,,NaN,0.0,,NaN,NaN,,,NaN
Not Valid,NOT MAPPED,2322.2999999999997,954848.0,2.4321148496933542,10912.0,0.011427996916786755,0.2128207478005865,50945.0,0.04558445382275002,4.668713343108505,172.0,13.50174418604651,0.003376190008833055,0.0,62.0,0.0
Linkpost - statika - F800GS,NOT MAPPED,1797.3400000000004,761292.0,2.360907509864809,4427.0,0.005815114305680344,0.40599503049469177,,NaN,0.0,,NaN,NaN,,66.0,0.0
Linkpost - static - F800GS,NOT MAPPED,1421.3400000000004,475770.0,2.987451920045401,2120.0,0.004455934590243185,0.6704433962264152,,NaN,0.0,,NaN,NaN,,58.0,0.0
Linkpost - static - F800,NOT MAPPED,25.63,35991.0,0.7121224750632102,287.0,0.007974215776166263,0.08930313588850174,,NaN,0.0,,NaN,NaN,,,NaN
