COUNTRY,Campaign Type,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,Tactical,17167.04,6157378.0,2.788043871920808,57786.0,0.009384838806388044,0.29707956944588654,,NaN,0.0,,NaN,NaN,,1584.0,10.837777777777779
PL,Always On,4950.280616733648,3546241.0,1.3959233500299748,41855.0,0.011802638342966538,0.1182721447075295,23138.0,0.2139459165327015,0.5528132839565165,99.0,50.002834512461085,0.004278675771458207,0.0,,NaN
GR,Always On,1698.5992030000004,3040000.0,0.5587497378289475,54307.0,0.017864144736842107,0.0312777211593349,,NaN,0.0,,NaN,NaN,,,NaN
GR,Tactical,3933.5700000000006,2150344.0,1.8292747578992015,23284.0,0.010828034956267463,0.16893875622745236,,NaN,0.0,,NaN,NaN,,427.0,9.212107728337237
RO,Always On,1236.5569179396832,1418200.0,0.8719199816243711,39307.0,0.027716119024115075,0.031458949244146925,,NaN,0.0,,NaN,NaN,,,NaN
RO,Tactical,7374.580000000001,3999078.0,1.8440700581484035,35004.0,0.008753017570550012,0.21067820820477662,,NaN,0.0,,NaN,NaN,,1342.0,5.49521609538003
CZ,Tactical,10485.600000000002,3027776.0,3.4631359783550706,40630.0,0.013419090447906318,0.25807531380753146,,NaN,0.0,,NaN,NaN,,1180.0,8.886101694915256
CZ,Always On,1701.0937177581625,512602.0,3.318546782412403,14652.0,0.028583579463209274,0.11609976233675692,2023.0,0.840876775955592,0.13806988806988807,1.0,1701.0937177581625,4.943153732081067E-4,0.0,,NaN
AT,NOT MAPPED,2116.929033000001,112325.0,18.846463681282,21597.0,0.19227242377030937,0.0980195875816086,6.0,352.8215055000001,2.778163633838033E-4,0.0,NaN,0.0,0.0,,NaN
AT,Always On,2462.091407,4393854.0,0.5603489344434294,13335.0,0.0030349210510863586,0.18463377630296213,19977.0,0.123246303599139,1.4980877390326208,40.0,61.552285174999994,0.002002302648045252,0.0,,NaN
AT,Tactical,6852.390000000001,1263860.0,5.421795135537165,10556.0,0.008352190907220737,0.6491464569912847,1.0,0.0,9.473285335354301E-5,0.0,NaN,0.0,0.0,,NaN
SK,Tactical,7854.52,2599676.0,3.0213457369302947,25036.0,0.009630430869077531,0.31372903019651704,,NaN,0.0,,NaN,NaN,,640.0,12.2726875
SK,Always On,925.970869,357776.0,2.588130195988551,7348.0,0.020537990250883233,0.12601672142079479,,NaN,0.0,,NaN,NaN,,,NaN
BG,Tactical,3724.3999999999987,2606488.0,1.4288958936315836,26566.0,0.01019225870213099,0.1401942332304449,170.0,0.0,0.006399156816984115,2.0,0.0,0.011764705882352941,0.0,528.0,7.053787878787876
BG,Always On,304.902694,682603.0,0.4466764634787717,4264.0,0.006246676325770617,0.07150626031894934,1691.0,0.18030910348905974,0.39657598499061913,0.0,NaN,0.0,0.0,,NaN
HU,Always On,1441.6324772797896,1125530.0,1.2808476693466986,15752.0,0.013995184490862083,0.09152059911628933,,NaN,0.0,,NaN,NaN,,,NaN
HU,Tactical,3493.7700000000004,1517139.0,2.302867436668625,13132.0,0.008655765885657148,0.26605010660980816,,NaN,0.0,,NaN,NaN,,446.0,7.833565022421526
SI,Tactical,6671.000000000005,2344902.0,2.8448950105377557,16984.0,0.007242946613547176,0.39278144135657117,,NaN,0.0,,NaN,NaN,,500.0,13.34200000000001
SI,Always On,766.0938280000001,887403.0,0.8632986681361232,5594.0,0.006303787568894854,0.1369492005720415,,NaN,0.0,,NaN,NaN,,,NaN
Not Valid,NOT MAPPED,2322.3,954848.0,2.4321148496933547,10912.0,0.011427996916786755,0.21282074780058652,70485.0,0.03294743562460098,6.459402492668621,179.0,12.973743016759778,0.002539547421437185,0.0,62.0,0.0
Linkpost - statika - F800GS,NOT MAPPED,1797.3399999999997,761292.0,2.3609075098648082,4427.0,0.005815114305680344,0.4059950304946916,,NaN,0.0,,NaN,NaN,,66.0,0.0
Linkpost - static - F800GS,NOT MAPPED,1421.34,475770.0,2.9874519200454,2120.0,0.004455934590243185,0.670443396226415,,NaN,0.0,,NaN,NaN,,58.0,0.0
Linkpost - static - F800,NOT MAPPED,25.630000000000003,35991.0,0.7121224750632104,287.0,0.007974215776166263,0.08930313588850175,,NaN,0.0,,NaN,NaN,,,NaN
