COUNTRY,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
PL,NOT MAPPED,9149.018489739607,3771075.0,2.426103561912613,36274.0,0.009619007842591303,0.25221973010254195,436.0,0.2771524994027656,0.012019628383966478,11.0,10.985317249055072,0.02522935779816514,0.0,1046.0,8.63114722753346
PL,Multi,8914.137036,5165284.0,1.7257786863219913,27483.0,0.005320714214358785,0.32435094552996396,,NaN,0.0,,NaN,NaN,,416.0,15.522884615384616
PL,Brand,1242.6031723393512,87753.0,14.160235802073448,23206.0,0.26444679953961686,0.053546633299118816,17102.0,0.07265835413047311,0.7369645781263466,69.0,18.008741628106538,0.004034615834405333,0.0,,NaN
PL,F 900 XR (K84),1681.34,591774.0,2.841185993301497,3980.0,0.006725540493499207,0.4224472361809045,,NaN,0.0,,NaN,NaN,,122.0,13.781475409836064
PL,M 1000 RR (0P01),185.6080713401768,17477.0,10.620133394757497,1484.0,0.08491159810036047,0.12507282435321887,1243.0,0.14932266399048816,0.8376010781671159,1.0,185.6080713401768,8.045052292839903E-4,0.0,,NaN
PL,R 1300 GS (0M21),184.72602590931123,13005.0,14.204231134895135,1402.0,0.10780469050365245,0.13175893431477265,1050.0,0.17592954848505832,0.7489300998573466,5.0,36.94520518186225,0.004761904761904762,0.0,,NaN
PL,F 900 GS (0K61),114.36259999620624,6712.0,17.03852800896994,883.0,0.1315554231227652,0.12951596828562428,696.0,0.1643140804543193,0.7882219705549264,3.0,38.12086666540208,0.004310344827586207,0.0,,NaN
PL,CE 02 (0C71),131.0587446801414,11272.0,11.62692908801822,859.0,0.07620652945351312,0.152571297648593,612.0,0.21414827562114605,0.7124563445867288,1.0,131.0587446801414,0.0016339869281045752,0.0,,NaN
PL,CE 04 (0C51),77.9843109422525,5191.0,15.02298419230447,620.0,0.11943748795993064,0.12578114668105242,457.0,0.17064400643818928,0.7370967741935484,2.0,38.99215547112625,0.00437636761487965,0.0,,NaN
PL,Dealer,67.0993387373495,2827.0,23.73517465063654,591.0,0.20905553590378492,0.11353526013087901,388.0,0.1729364400447152,0.6565143824027073,3.0,22.366446245783166,0.007731958762886598,0.0,,NaN
PL,F 800 GS (0K51),62.85557558163394,5471.0,11.488864116547969,496.0,0.09065984280753062,0.12672495076942328,360.0,0.17459882106009428,0.7258064516129032,1.0,62.85557558163394,0.002777777777777778,0.0,,NaN
PL,F 900 XR (0K21),59.0812210942138,3291.0,17.95236131698991,488.0,0.1482831965967791,0.1210680760127332,11.0,5.371020099473982,0.022540983606557378,0.0,NaN,0.0,0.0,,NaN
PL,R 1250 GS Adventure (0M11),48.143864156363705,4139.0,11.631762299193936,357.0,0.08625271804783764,0.13485676234275548,6.0,8.023977359393951,0.01680672268907563,0.0,NaN,0.0,0.0,,NaN
PL,R 18 (0N71),41.295499246799764,3176.0,13.002361223803451,306.0,0.09634760705289673,0.1349526119176463,202.0,0.20443316458811764,0.6601307189542484,0.0,NaN,0.0,0.0,,NaN
PL,K 1600 GTL (0F31),38.1082759428823,3912.0,9.741379331002634,287.0,0.0733640081799591,0.13278144927833554,188.0,0.2027035954408633,0.6550522648083623,0.0,NaN,0.0,0.0,,NaN
PL,G 310 GS (0G31),27.801886402535,2106.0,13.201275594745965,218.0,0.10351377018043685,0.12753158900245412,155.0,0.1793670090486129,0.7110091743119266,0.0,NaN,0.0,0.0,,NaN
PL,K 1600 GT (0F21),24.4467985337475,2895.0,8.44448999438601,187.0,0.06459412780656304,0.13073154296121658,140.0,0.17461998952676785,0.7486631016042781,1.0,24.4467985337475,0.007142857142857143,0.0,,NaN
PL,G 310 R (0G41),23.80980638511459,2298.0,10.361099384297036,185.0,0.08050478677110531,0.12870165613575454,141.0,0.1688638750717347,0.7621621621621621,0.0,NaN,0.0,0.0,,NaN
PL,R 1250 RT (0L01),15.4335672966197,1886.0,8.183227622810021,120.0,0.06362672322375397,0.12861306080516416,85.0,0.18157137996023176,0.7083333333333334,0.0,NaN,0.0,0.0,,NaN
PL,R 1250 R (0M71),9.27937037806466,670.0,13.849806534424866,71.0,0.10597014925373134,0.13069535743753044,44.0,0.21089478131965136,0.6197183098591549,2.0,4.63968518903233,0.045454545454545456,0.0,,NaN
PL,C 400 X (0S11),8.36381071116857,546.0,15.318334635839872,65.0,0.11904761904761904,0.12867401094105493,49.0,0.1706900145136443,0.7538461538461538,0.0,NaN,0.0,0.0,,NaN
PL,C 400 GT (0S01),6.93722590574394,529.0,13.113848593088733,50.0,0.0945179584120983,0.1387445181148788,24.0,0.2890510794059975,0.48,0.0,NaN,0.0,0.0,,NaN
PL,K 1600 B (0F61),1.99282076804893,211.0,9.444648189805356,15.0,0.07109004739336493,0.13285471786992867,13.0,0.15329390523453307,0.8666666666666667,0.0,NaN,0.0,0.0,,NaN
PL,R 18 Transcontinental (0L41),1.83310464631682,119.0,15.404240725351428,14.0,0.11764705882352941,0.13093604616548712,12.0,0.15275872052640166,0.8571428571428571,0.0,NaN,0.0,0.0,,NaN
GR,Multi,2354.462963,3586225.0,0.6565296273937079,43439.0,0.0121127369308953,0.05420159218674463,,NaN,0.0,,NaN,NaN,,80.0,17.705125
GR,Brand,381.41100800000004,37315.0,10.22138571619992,12451.0,0.3336727857429988,0.03063296185045378,,NaN,0.0,,NaN,NaN,,,NaN
